"id;""cve_ent"";""cve_mun"";""nom_mun"";""cve_cab"";""nom_cab""",,
"1;""01"";""001"";""Aguascalientes"";""0001"";""Aguascalientes""",,
"2;""01"";""002"";""Asientos"";""0001"";""Asientos""",,
"3;""01"";""003"";""Calvillo"";""0001"";""Calvillo""",,
"4;""01"";""004"";""Cosío"";""0001"";""Cosío""",,
"5;""01"";""005"";""Jesús María"";""0001"";""Jesús María""",,
"6;""01"";""006"";""Pabellón de Arteaga"";""0001"";""Pabellón de Arteaga""",,
"7;""01"";""007"";""Rincón de Romos"";""0001"";""Rincón de Romos""",,
"8;""01"";""008"";""San José de Gracia"";""0001"";""San José de Gracia""",,
"9;""01"";""009"";""Tepezalá"";""0001"";""Tepezalá""",,
"10;""01"";""010"";""El Llano"";""0001"";""Palo Alto""",,
"11;""01"";""011"";""San Francisco de los Romo"";""0001"";""San Francisco de los Romo""",,
"12;""02"";""001"";""Ensenada"";""0001"";""Ensenada""",,
"13;""02"";""002"";""Mexicali"";""0001"";""Mexicali""",,
"14;""02"";""003"";""Tecate"";""0001"";""Tecate""",,
"15;""02"";""004"";""Tijuana"";""0001"";""Tijuana""",,
"16;""02"";""005"";""Playas de Rosarito"";""0001"";""Playas de Rosarito""",,
"17;""03"";""001"";""Comondú"";""0001"";""Ciudad Constitución""",,
"18;""03"";""002"";""Mulegé"";""0001"";""Santa Rosalía""",,
"19;""03"";""003"";""La Paz"";""0001"";""La Paz""",,
"20;""03"";""008"";""Los Cabos"";""0001"";""San José del Cabo""",,
"21;""03"";""009"";""Loreto"";""0001"";""Loreto""",,
"22;""04"";""001"";""Calkiní"";""0001"";""Calkiní""",,
"23;""04"";""002"";""Campeche"";""0001"";""San Francisco de Campeche""",,
"24;""04"";""003"";""Carmen"";""0001"";""Ciudad del Carmen""",,
"25;""04"";""004"";""Champotón"";""0001"";""Champotón""",,
"26;""04"";""005"";""Hecelchakán"";""0001"";""Hecelchakán""",,
"27;""04"";""006"";""Hopelchén"";""0001"";""Hopelchén""",,
